SITE,PROGRAMME,DATE,CHAMPS
Arena Bercy,Gymnastique artistique (11:00-13:30); Gymnastique artistique (15:30-18:00); Gymnastique artistique (20:00-22:30),2024-07-27,"SITE: Arena Bercy 
 Programme de la journée: Gymnastique artistique (11:00-13:30); Gymnastique artistique (15:30-18:00); Gymnastique artistique (20:00-22:30)"
Arena Bercy,Gymnastique artistique (09:30-13:20); Gymnastique artistique (14:50-16:30); Gymnastique artistique (18:00-19:40); Gymnastique artistique (21:10-22:50),2024-07-28,"SITE: Arena Bercy 
 Programme de la journée: Gymnastique artistique (09:30-13:20); Gymnastique artistique (14:50-16:30); Gymnastique artistique (18:00-19:40); Gymnastique artistique (21:10-22:50)"
Arena Bercy,Gymnastique artistique (17:30-20:30),2024-07-29,"SITE: Arena Bercy 
 Programme de la journée: Gymnastique artistique (17:30-20:30)"
Arena Bercy,Gymnastique artistique (18:15-20:30),2024-07-30,"SITE: Arena Bercy 
 Programme de la journée: Gymnastique artistique (18:15-20:30)"
Arena Bercy,Gymnastique artistique (17:30-20:15),2024-07-31,"SITE: Arena Bercy 
 Programme de la journée: Gymnastique artistique (17:30-20:15)"
Arena Bercy,Gymnastique artistique (18:15-20:25),2024-08-01,"SITE: Arena Bercy 
 Programme de la journée: Gymnastique artistique (18:15-20:25)"
Arena Bercy,Gymnastique trampoline (12:00-14:30); Gymnastique trampoline (18:00-20:30),2024-08-02,"SITE: Arena Bercy 
 Programme de la journée: Gymnastique trampoline (12:00-14:30); Gymnastique trampoline (18:00-20:30)"
Arena Bercy,Gymnastique artistique (15:30-18:00),2024-08-03,"SITE: Arena Bercy 
 Programme de la journée: Gymnastique artistique (15:30-18:00)"
Arena Bercy,Gymnastique artistique (15:00-17:25),2024-08-04,"SITE: Arena Bercy 
 Programme de la journée: Gymnastique artistique (15:00-17:25)"
Arena Bercy,Gymnastique artistique (12:00-15:15),2024-08-05,"SITE: Arena Bercy 
 Programme de la journée: Gymnastique artistique (12:00-15:15)"
Arena Bercy,Basketball (phase finale) (11:00-13:00); Basketball (phase finale) (14:30-16:30); Basketball (phase finale) (18:00-20:00); Basketball (phase finale) (21:30-23:30),2024-08-06,"SITE: Arena Bercy 
 Programme de la journée: Basketball (phase finale) (11:00-13:00); Basketball (phase finale) (14:30-16:30); Basketball (phase finale) (18:00-20:00); Basketball (phase finale) (21:30-23:30)"
